# slope intercept sigma lnLike
3.455427800380070025e+00 1.644856741890404539e+00 6.121800315235664813e-02 -1.330169002882411888e+01
3.197269465886630524e+00 2.293965035045261835e+00 9.377735488615211723e-02 -1.418884572197126559e+01
3.325157412190832495e+00 1.932175235602258567e+00 1.511161545547698437e-01 -1.396075432462400734e+01
3.245274056333422585e+00 2.180916365937697776e+00 7.304462082337614959e-02 -1.460788027226542063e+01
3.359219901588209822e+00 1.914342222658522497e+00 1.344341152485435953e-01 -1.363472935109094841e+01
3.326179809988015990e+00 1.988956034176878385e+00 1.134095578091918188e-01 -1.283633411295358684e+01
3.399526071055137155e+00 1.741823275447108132e+00 1.122205181028878146e-01 -1.314788075369432896e+01
3.522288180518956757e+00 1.465065900776979957e+00 8.376733628962304556e-02 -1.372129339272077786e+01
3.571898744980575469e+00 1.324482191040073698e+00 9.403809976087473821e-02 -1.553508855607468497e+01
3.247938065306779087e+00 2.163432565973039789e+00 9.457335059474397676e-02 -1.292964982024328613e+01
3.172460215177594023e+00 2.288249495354826912e+00 9.957116054068229638e-02 -1.505755286853443842e+01
3.303683827204495493e+00 2.042118986096826294e+00 1.120543062784204735e-01 -1.282083404841364249e+01
3.367690019095322285e+00 1.853581297215107337e+00 1.264358893608242274e-01 -1.237775387511102920e+01
3.336478782271899313e+00 1.946690615630687127e+00 9.760596034599730575e-02 -1.212663953208692647e+01
3.266596109433273831e+00 2.100073678595723692e+00 1.058263318246488310e-01 -1.220530592729096142e+01
3.506256192251066661e+00 1.490758644435898450e+00 7.880488765871879187e-02 -1.384414473821299474e+01
3.344030223683989167e+00 1.909060535596155184e+00 1.092379435179039737e-01 -1.189857531323922046e+01
3.289399102484209081e+00 2.035779050837313697e+00 9.101318078967050862e-02 -1.220148854665725047e+01
3.272014914841355981e+00 2.078284323805517531e+00 1.538045615081584661e-01 -1.367581273039480827e+01
3.121033990490476473e+00 2.432303070632338304e+00 8.234244946699813272e-02 -1.641385092472997087e+01
3.289547070579058374e+00 2.032731419601096157e+00 7.944867842060863994e-02 -1.255285301490389571e+01
3.389404388454896555e+00 1.778661409326805831e+00 5.140587721821275602e-02 -1.353494223452270262e+01
3.400787133415345664e+00 1.567700929993030012e+00 1.157954877499315638e-01 -4.483979995596499890e+01
3.397153109680052907e+00 1.812426039640971709e+00 1.619558261828581980e-01 -1.496677429333072062e+01
3.189714360961861228e+00 2.305064551291015285e+00 1.468562022922162980e-01 -1.407537469539725805e+01
3.492800535949372787e+00 1.551744829313327800e+00 1.345726098133414872e-01 -1.416207691706884475e+01
3.375999102615939051e+00 1.875072064086781509e+00 1.284591588811830887e-01 -1.359828944034708620e+01
3.230912805340584004e+00 2.166826921243270032e+00 1.039244040448469991e-01 -1.291671649945077682e+01
3.408056040439681578e+00 1.755528983989781411e+00 4.858315671380778605e-02 -1.362738415790677848e+01
3.310447629272187609e+00 1.964362566039759894e+00 6.477760663540221842e-02 -1.344293390663258236e+01
3.318085015885277933e+00 1.933661302616485278e+00 9.849459669243369742e-02 -1.320395092821222072e+01
3.350123653574464733e+00 1.864624247533289036e+00 5.750845962840835102e-02 -1.365953099966693429e+01
3.336288407706465176e+00 1.911785350068425426e+00 1.414072660797397463e-01 -1.322272092160288715e+01
3.166557879412990051e+00 2.364732095710286863e+00 1.496337768998423079e-01 -1.459767694392160209e+01
3.263187808465757289e+00 2.092592800132895725e+00 1.237834787179306062e-01 -1.261537818621021323e+01
3.358491219449303067e+00 1.904601222048885045e+00 6.377508643888347983e-02 -1.388484694333913083e+01
3.318454134733741068e+00 1.876290762656196653e+00 9.641086015619867999e-02 -1.962016443253262565e+01
3.378552265098342833e+00 1.822744148288639954e+00 1.019027229290607323e-01 -1.192771380986492069e+01
3.271335917778368962e+00 2.173046526706672754e+00 1.393548924568504543e-01 -1.774514842050875885e+01
3.347698544502268447e+00 1.926303930766231298e+00 8.179923787745643771e-02 -1.273257425960026801e+01
3.443754937015176321e+00 1.736598737411955140e+00 7.852854581487725416e-02 -1.689263147416544797e+01
3.468992756144426703e+00 1.618240226627268630e+00 1.047343890475280204e-01 -1.287272323099317717e+01
3.337197191735726154e+00 1.921989286536698094e+00 1.231899193055386171e-01 -1.221877989949336119e+01
3.300934755339436588e+00 2.026167291861327158e+00 1.378851962698736111e-01 -1.275392047711832966e+01
3.499995122480066279e+00 1.511882632119910586e+00 6.459095655418573001e-02 -1.382485105769730360e+01
3.244319361841583316e+00 2.163873726787356233e+00 8.861184126058571642e-02 -1.292648379920771617e+01
3.264701981497875494e+00 2.118084407918385814e+00 8.254478253407659949e-02 -1.297542413506934089e+01
3.445382311100764650e+00 1.670033375152795818e+00 9.842988354003902318e-02 -1.244118606357079493e+01
3.235205763859446026e+00 2.188736735110446752e+00 1.052659773257381137e-01 -1.272868218477856850e+01
3.421240190494208022e+00 1.708299241260672119e+00 8.076604612511380232e-02 -1.243417305670350004e+01
3.451311983197760114e+00 1.685419429124731971e+00 1.153799196771577162e-01 -1.360124200399506300e+01
3.318929464307642796e+00 1.964337246688479421e+00 1.249600410699656383e-01 -1.229245992682020372e+01
3.345847423043001534e+00 1.890832814958381736e+00 1.448619801113348871e-01 -1.337395109002758886e+01
3.237042179602814151e+00 2.209876195412912914e+00 9.958434868454631161e-02 -1.398751437795660379e+01
3.298435777868354624e+00 2.011607260060814362e+00 1.110716076334362229e-01 -1.209339797666974192e+01
3.237004405207748903e+00 2.189202460661370253e+00 1.060951163538739750e-01 -1.282553941677272391e+01
3.345304156100185722e+00 1.905919100564661406e+00 9.965513620795621308e-02 -1.184262958248083564e+01
3.321505214963647035e+00 1.973023292846260990e+00 1.325919020583916641e-01 -1.249919601138832448e+01
3.552761720662847011e+00 1.386365260801166954e+00 9.633007104461072112e-02 -1.450410095986272374e+01
3.318184427999919972e+00 1.992627196395129197e+00 9.908386589439857617e-02 -1.221049909748293416e+01
3.143046837267618354e+00 2.374571188676353195e+00 8.845326106661244303e-02 -1.548055146913961089e+01
3.233530112182430916e+00 2.190046749191831843e+00 1.208124589808689531e-01 -1.270538607265599396e+01
3.466410533477341183e+00 1.636399058237535620e+00 1.146479549349167099e-01 -1.329134071630430292e+01
3.327908738200476169e+00 1.950722671911629069e+00 5.036505180051098485e-02 -1.382660246130331849e+01
3.173355668213877046e+00 2.280085108801739313e+00 8.381692915957833501e-02 -1.604022605694098758e+01
3.608596822680733229e+00 1.248709585031475111e+00 7.918635995396236527e-02 -1.596104351770819108e+01
3.456613085200199720e+00 1.662716919663111526e+00 9.538061488903529228e-02 -1.307678369714819056e+01
3.348719390749867131e+00 1.919412815355457935e+00 1.180581927971788014e-01 -1.231005591288245959e+01
3.336984791629351577e+00 1.917390894822818215e+00 1.612989354739104986e-01 -1.426034070035492185e+01
3.124458395627858653e+00 2.439389613397598744e+00 1.246890542623834974e-01 -1.464375370542621191e+01
3.432909923326734170e+00 1.678526810050599671e+00 4.081175398812990351e-02 -1.410791385094389483e+01
3.425403713675819528e+00 1.696838954479921169e+00 6.177797811820609497e-02 -1.302929439342354989e+01
3.291686971481543100e+00 2.016847840847856954e+00 9.345512615518697386e-02 -1.243799456959014726e+01
3.219036918788642954e+00 2.245698795854927710e+00 1.272949467286064451e-01 -1.358356454992635243e+01
3.279430421949522056e+00 2.107856685616656733e+00 1.411775644816368191e-01 -1.387553815849049599e+01
3.291341880366256856e+00 2.002455710790889576e+00 1.199840085366075670e-01 -1.327733378247062390e+01
3.379963836669307220e+00 1.822778333379333260e+00 1.108156432466886748e-01 -1.202288412367605375e+01
3.095236610443113268e+00 2.503480065061880477e+00 1.213902334855488929e-01 -1.554246148118668813e+01
3.388833624927187316e+00 1.817796435359591012e+00 8.557165171355085587e-02 -1.231160249258309669e+01
3.360787046424570601e+00 1.841108283515068500e+00 6.721604044069674766e-02 -1.308619013774439033e+01
3.334187992670947231e+00 1.937191867807420254e+00 1.041731470929339320e-01 -1.185814229709995260e+01
3.516984762209760529e+00 1.478450467755220377e+00 4.807371795636980472e-02 -1.458449392502264530e+01
3.344674861883164318e+00 1.946525754012059295e+00 1.060787401697648458e-01 -1.294668518010296587e+01
3.121417196079239620e+00 2.475591793993122458e+00 1.605118985430860346e-01 -1.584178467904123266e+01
3.334132015354088541e+00 1.906483168268480188e+00 1.083493682035080174e-01 -1.255810104220886103e+01
3.261006858839022637e+00 2.168041500269395350e+00 1.089161863790718832e-01 -1.474303917736540548e+01
3.358758275849857089e+00 1.844161397890740961e+00 9.239426092186830974e-02 -1.262678852924705808e+01
3.148820102277395172e+00 2.391163749999418719e+00 1.354494745093736685e-01 -1.420374714417358319e+01
3.420841058110103194e+00 1.776409567736386919e+00 1.102000282891057725e-01 -1.430218032797744243e+01
3.392132679299327158e+00 1.771983030459254760e+00 1.166659131955820189e-01 -1.265059852755604730e+01
3.378291196300233334e+00 1.859696203688864902e+00 8.511013508471558520e-02 -1.302380054555365874e+01
3.382690053794040086e+00 1.805918670000196791e+00 9.742481115676751569e-02 -1.201031252071126687e+01
3.200636472074382066e+00 2.225477355223289155e+00 1.363104700590791751e-01 -1.431721405719349249e+01
3.548450281268854756e+00 1.445141190442660317e+00 8.488392374283829089e-02 -1.503565688434544256e+01
3.422540250014419527e+00 1.715270764191307640e+00 8.514634882824867468e-02 -1.224915758492637785e+01
3.279545963412563658e+00 2.116594303857896264e+00 5.753613764058581465e-02 -1.702607853338079735e+01
3.291361108732082652e+00 2.036353756716615226e+00 4.590190986040631332e-02 -1.458793416639088036e+01
3.430240729036558633e+00 1.712954795738244496e+00 9.241408911274204274e-02 -1.237658132167040748e+01
3.250098411460556225e+00 2.102812039638070729e+00 7.549704829518499860e-02 -1.414564086266595844e+01
3.323063554569743783e+00 1.957746765967571356e+00 1.109073903052794907e-01 -1.194205432405232514e+01
3.273821035222629572e+00 2.092890906674652829e+00 1.191865885888717252e-01 -1.232688299057736891e+01
3.383761632018256638e+00 1.770690615625292841e+00 9.198208757045482631e-02 -1.345586966141351581e+01
3.619417992694240027e+00 1.213481851574166326e+00 6.638460982185195869e-02 -1.673178454825621131e+01
3.381925900836177057e+00 1.854518607415571729e+00 1.124905375894040827e-01 -1.297275094706797915e+01
3.303698578032575384e+00 1.987681745896058505e+00 1.068953538633416467e-01 -1.232204949566622432e+01
3.264317648820280748e+00 2.116600027193822786e+00 8.491270727141429775e-02 -1.281069830577144586e+01
3.261848431256851644e+00 2.166462102312713967e+00 1.280757999495273913e-01 -1.471157235698800925e+01
3.335106845738776915e+00 1.918953813298335254e+00 9.089450615989592974e-02 -1.204552709714865877e+01
3.484930157424091401e+00 1.555297820228667582e+00 9.577944176757359485e-02 -1.308083330087301555e+01
3.301351190494485444e+00 2.020812872066930943e+00 6.752251007987414289e-02 -1.307227241488717340e+01
3.387506103716355188e+00 1.780220105999681390e+00 5.790530994736739490e-02 -1.330117467665070130e+01
3.366847612272755086e+00 1.863849234798658161e+00 1.006477800387152732e-01 -1.192637296245791489e+01
3.542038801893302224e+00 1.441115248053345343e+00 1.213875354239500881e-01 -1.463123462850159839e+01
3.190440222847833240e+00 2.314000183957731771e+00 7.302644626139852269e-02 -1.588476741495817812e+01
3.227498307305571856e+00 2.094954169020368795e+00 7.041623036486241438e-02 -2.220355304734195911e+01
3.418104183816061958e+00 1.718590472127428548e+00 9.072137691053899777e-02 -1.225570937631765744e+01
3.541736089152297318e+00 1.391651429148525132e+00 1.144130945100638314e-01 -1.558063973839336036e+01
3.333440247131223888e+00 1.949581039433292862e+00 1.116791400643299126e-01 -1.203555537615723381e+01
3.299864790654275293e+00 2.023124158669111772e+00 1.449679106198666356e-01 -1.305158371011703622e+01
3.254328094270499960e+00 2.197227912868807032e+00 1.298904700590300665e-01 -1.592087328450238637e+01
3.243671233447028790e+00 2.184047756821875019e+00 1.284141987601498114e-01 -1.324922192601164816e+01
3.307716692900767530e+00 1.998213253821972346e+00 9.367791726495142135e-02 -1.199424164335139409e+01
3.342965881482216961e+00 1.921153488461094350e+00 7.009011918343432956e-02 -1.265178226041332366e+01
3.121566248196429250e+00 2.467184259044794103e+00 1.226345919005047691e-01 -1.490001965451101995e+01
3.468542936995601789e+00 1.601582845877365990e+00 7.542527057605601104e-02 -1.289895003509304772e+01
3.266340545759704117e+00 2.092297074283584468e+00 1.448355928276174043e-01 -1.321186711073244346e+01
3.288933826726585519e+00 2.071803460284081577e+00 1.698495290733001983e-01 -1.494736132443233778e+01
3.265538744063583021e+00 2.075581696768276085e+00 1.111511912690807125e-01 -1.278362885369593549e+01
3.246716422556188864e+00 2.134760294586837581e+00 6.256107468640537128e-02 -1.410110144923970132e+01
3.447380348580887155e+00 1.629380142274482690e+00 5.188533031680152285e-02 -1.401391452279326444e+01
3.270968206223041630e+00 2.094654692218770542e+00 1.912724206685242345e-01 -1.643586320645804832e+01
3.612631185405686285e+00 1.265310718267580681e+00 6.058620181128604454e-02 -1.638848982414527455e+01
3.489054532910905948e+00 1.550993540747120925e+00 9.567172094556569695e-02 -1.305377452945705663e+01
3.341742904585732532e+00 1.890494246453284122e+00 1.199015907115673907e-01 -1.267969838552455464e+01
3.275444956316810874e+00 2.076376120491632005e+00 1.076780465648512486e-01 -1.212816268509945417e+01
3.308018729352106835e+00 1.984869458064452141e+00 1.060065336924256307e-01 -1.207974875445076712e+01
3.550240733134965687e+00 1.371360667752873130e+00 7.634485671305937804e-02 -1.534395985144939800e+01
3.301250728082497865e+00 2.006906437699866430e+00 9.521795731588807155e-02 -1.205022537325207743e+01
3.444192687924625851e+00 1.693117285759123458e+00 1.100794339793500082e-01 -1.300746965293248714e+01
3.514342409029478365e+00 1.460581150912207526e+00 7.425266878477367050e-02 -1.454228852434021135e+01
3.469791588231489587e+00 1.610211471056746335e+00 5.395774474823358813e-02 -1.380736803504063381e+01
3.540859842356289811e+00 1.417258155873354131e+00 9.322106925257207799e-02 -1.416161850825254298e+01
3.212663137006679825e+00 2.193627902284780884e+00 1.156827192762190648e-01 -1.395102242871180742e+01
3.397591711608316967e+00 1.814087699016539768e+00 1.206525299369682475e-01 -1.308816251806061715e+01
3.321987508095673558e+00 1.950332337271166505e+00 8.819440243042619976e-02 -1.214084225626740121e+01
3.383693482431578747e+00 1.811546283937147006e+00 6.275415329228885286e-02 -1.276927374966921747e+01
3.260521184302291875e+00 2.127965404953716888e+00 1.001998480399773350e-01 -1.249644802648656849e+01
3.245008860605765655e+00 2.196782647132610400e+00 1.050484567829496479e-01 -1.417939915022205355e+01
3.345277505445180211e+00 1.858950777090601081e+00 8.524050221737090871e-02 -1.388270817429881276e+01
3.289282158208640450e+00 2.040915835806633716e+00 1.011472954237774141e-01 -1.204193071035834706e+01
3.246983972276364483e+00 2.171138658814621980e+00 8.070583519308797971e-02 -1.375784536732965257e+01
3.305108023854822275e+00 1.980787778946717204e+00 9.921305439313463093e-02 -1.243180743356882267e+01
3.385127430047051078e+00 1.819107641363889361e+00 3.900253279985283622e-02 -1.452232220068172097e+01
3.358130187003159683e+00 1.921406299133043172e+00 8.073374979987182898e-02 -1.410375031021772152e+01
3.405196639125717795e+00 1.756891904260763138e+00 7.605888669758285869e-02 -1.231973966189084990e+01
3.257516393959601686e+00 2.137066640843441334e+00 1.023786443449122008e-01 -1.254723720845759694e+01
3.314249283486179198e+00 2.018367968335145424e+00 1.228046701918301953e-01 -1.299869746034274698e+01
3.236077624537565089e+00 2.153872583708120292e+00 7.242358129131590272e-02 -1.382713241758590783e+01
3.436640421422189284e+00 1.659626190716902983e+00 8.488029161240659426e-02 -1.286591398670966591e+01
3.326519120661015627e+00 1.938936902467848666e+00 4.969394166861637596e-02 -1.381463715662398783e+01
3.476328463234206190e+00 1.643311019528328476e+00 9.825848570670761561e-02 -1.512942657837738381e+01
3.411764428669770144e+00 1.764887998288587445e+00 4.452073588293619516e-02 -1.458350946005355020e+01
3.413380982153465748e+00 1.725667500319401748e+00 8.823570755413666367e-02 -1.233048355019906772e+01
3.329787589741328269e+00 1.958077240071806280e+00 8.003275327730761945e-02 -1.241524751560275774e+01
3.280262813340281358e+00 2.095526195105700928e+00 1.121857250548735085e-01 -1.278798617559160355e+01
3.489156985169975300e+00 1.589420605219925120e+00 1.073120773812711315e-01 -1.383823716659449232e+01
3.341985712107749862e+00 1.901532807969649852e+00 1.283228044271591817e-01 -1.256107375318644515e+01
3.132652432604445369e+00 2.468165583938038754e+00 1.381169071277154048e-01 -1.590615764226229167e+01
3.341157466034553103e+00 1.941730319064446153e+00 1.719666405932482878e-01 -1.514085808204639072e+01
3.283028928564514448e+00 2.095369818801000150e+00 1.267260221893108108e-01 -1.324677102328802825e+01
3.232439632039035171e+00 2.254358287831845331e+00 8.223430962237314457e-02 -1.848343453058276964e+01
3.228898149526506334e+00 2.149575375869381855e+00 1.645810383312600322e-01 -1.576781735976152277e+01
3.345534591591001750e+00 1.920082766361652871e+00 1.173078805210790998e-01 -1.213059626396109181e+01
3.304181764568744573e+00 1.995881288350580984e+00 7.192568802302995445e-02 -1.272999130841146886e+01
3.444291681314644471e+00 1.641690385428395960e+00 3.208203599872774814e-02 -1.480190428589827789e+01
3.326887776822332832e+00 1.948583243352860261e+00 1.158361225634259029e-01 -1.201666143809623755e+01
3.378709958621948228e+00 1.849875532033298686e+00 1.420659671448532002e-01 -1.339491670838962101e+01
3.181956233859194239e+00 2.290440999472976191e+00 1.375034481257199626e-01 -1.385749857803311258e+01
3.476056642726318202e+00 1.553989882612416329e+00 6.646387749154424041e-02 -1.408672227736390248e+01
3.602898475809246381e+00 1.255408313357301964e+00 7.621153072900377357e-02 -1.606039022332914001e+01
3.401771285955479840e+00 1.784401605945759695e+00 1.569634789052862245e-01 -1.429992218258082026e+01
3.268101108804276844e+00 2.109671952490317359e+00 7.298351213146703209e-02 -1.341679862697952430e+01
3.499405674744822115e+00 1.521082301290962890e+00 6.896610320070334366e-02 -1.354429932297996508e+01
3.418159862581402475e+00 1.705938216201608570e+00 1.544146713806683890e-01 -1.482157177625539823e+01
2.988513264970098948e+00 2.765207181097167677e+00 1.671036191406312654e-01 -1.919843971465163079e+01
3.355841041136775615e+00 1.883157864564472650e+00 1.298091418294644028e-01 -1.244966380325787725e+01
3.372605296660444285e+00 1.836255965778066157e+00 9.439924923531975431e-02 -1.190729471491557590e+01
3.442105001077131465e+00 1.662338545165837234e+00 3.437733415030119755e-04 -1.576319557757121714e+01
3.406650665508614395e+00 1.783970428813495213e+00 1.030273771958472168e-01 -1.257418835124054546e+01
3.499932648058110107e+00 1.564298944078317710e+00 1.370300677857460570e-01 -1.494860428136583153e+01
3.424923583335698130e+00 1.686625125116522739e+00 5.254674182030984880e-02 -1.373915706095137601e+01
3.453758476766244812e+00 1.627263864729652898e+00 1.031069970166351435e-01 -1.280684016915975576e+01
3.232135323146083650e+00 2.146494476758398218e+00 1.302654824758697760e-01 -1.393023452513116212e+01
3.416485662907376319e+00 1.732533050154034582e+00 8.797614136567821763e-02 -1.216299633054799401e+01
3.368783304914899190e+00 1.846441244921366076e+00 1.120673318858567830e-01 -1.201621940962802881e+01
3.471079452578122559e+00 1.605373293931439793e+00 7.739387939199465771e-02 -1.291488108678158397e+01
3.363444320015293698e+00 1.860933177518389492e+00 8.206733885075903623e-02 -1.205876660233012743e+01
3.266161155977289621e+00 2.118607599714113388e+00 1.259028699535365836e-01 -1.265089680677366069e+01
3.326986023585657204e+00 1.952978186176756115e+00 1.292186789019374449e-01 -1.236336247463686000e+01
3.197416130605580609e+00 2.264532544639630718e+00 1.256739999090682736e-01 -1.319078696594350042e+01
3.281672040273097224e+00 2.075740873451509039e+00 6.363396108902528991e-02 -1.379279779071952916e+01
3.178484653126878445e+00 2.297677582701136423e+00 9.967604983094277560e-02 -1.384792236918154096e+01
3.306091714451698138e+00 2.053340192210583393e+00 9.671556355006349914e-02 -1.417887358935307063e+01
3.441884915232973352e+00 1.694133140439961327e+00 5.939664028672571316e-02 -1.385609402132821266e+01
3.272376378185653856e+00 2.114786309427856281e+00 9.824443693133430577e-02 -1.301065593808093368e+01
3.273905991811142169e+00 2.094981197376655668e+00 1.294131432264413184e-01 -1.258958409710655246e+01
3.361659296443099354e+00 1.889635017663436889e+00 8.036115043504234168e-02 -1.263652600902199730e+01
3.240166779341306924e+00 2.202789576632352198e+00 1.526310707780605957e-01 -1.455986918526502549e+01
3.498744156457418431e+00 1.531338050213477686e+00 7.384488985924742011e-02 -1.335943873379580360e+01
3.178968263462148336e+00 2.329641121197875364e+00 1.045697747706697545e-01 -1.386293443516353463e+01
3.305431494375166590e+00 2.027082994981127317e+00 1.548752217493333527e-01 -1.383178224435890513e+01
3.519630124770491086e+00 1.464431932285951810e+00 1.493169896445573075e-03 -1.636045747642621606e+01
3.414295409250817315e+00 1.777882807992653413e+00 9.094614524289620916e-02 -1.338023550905589509e+01
3.264321136963755254e+00 2.087478132725433699e+00 6.234379404020106569e-02 -1.385690637069171594e+01
3.406748563983238665e+00 1.775612157501327948e+00 7.481641436775371412e-02 -1.274629277163416496e+01
3.406746536859816654e+00 1.789187859511856438e+00 1.025001736248584427e-01 -1.281407654549892605e+01
3.463284255532620204e+00 1.618556041847326155e+00 5.546339206994941456e-02 -1.354405461299520752e+01
3.167682333779421988e+00 2.364861318558150405e+00 1.347209785026742823e-01 -1.425800951389055093e+01
3.321924912843203348e+00 1.997961550236669881e+00 1.922622812022941052e-01 -1.705336845149192371e+01
3.232349699473439308e+00 2.223288808850700793e+00 1.040226853131388379e-01 -1.407610125308745452e+01
3.406884426429730439e+00 1.790205366135334319e+00 1.123730116195438417e-01 -1.294471066265616166e+01
3.268349490998953666e+00 2.057753446770005823e+00 1.315089958436606865e-01 -1.373141875690718017e+01
3.517707462644071192e+00 1.518496379289308251e+00 1.239430509353493526e-01 -1.466312929898544581e+01
3.371993640866420172e+00 1.802397999050356248e+00 2.780924587416001847e-02 -1.564613445220312649e+01
