KID,Name,Redshift,INC,Re,Re_err,Ve,Ve_err,Vopt,Vopt_err,Vout,Vout_err,Mstar,Mstar_err,MH2,MH2_err,MHI,MHI_err,Rot_Disp_ratio_int,log(Rgas),log(Rgas_err),Rout_Flag,Mstar_flag,Wiggle_Flag,Rgas_flag,,ve,,m,,,check HI,check H2,check star
68,C-zcos_z1_1021,0.927272553,63.4272704,3.6876013,1.1062804,106.8143528,35.66574995,99.93058465,11.06763383,113.408406,9.641562668,7.60E+09,3.50E+09,2.79E+09,6.51E+09,5.30E+10,2.03E+11,1.9497761,0.957810478,0.874840224,OK,OK,OK,ok,,2.028629614,,10.80212685,,,0,0,1
71,C-zcos_z1_15,0.92496718,53,5.2910314,3.174619,160.6168878,15.44742168,237.1793081,19.17020473,265.7941933,20.59608899,1.40E+10,6.44E+09,2.73E+09,1.19E+10,3.20E+10,2.29E+11,26.73864852,1.694069376,1.596392807,OK,OK,OK,F,,2.205791207,,10.68772967,,,0,0,1
72,C-zcos_z1_156,0.868009194,54.01950612,2.1255233,0.63765705,215.8044351,90.82083684,193.2183354,65.19487994,167.5118881,22.5707208,6.81E+09,3.14E+09,3.01E+09,5.87E+09,6.93E+10,2.21E+11,5.746046565,0.916235712,0.871994799,OK,OK,OK,ok,,2.334060366,,10.89850213,,,0,0,1
74,C-zcos_z1_162,0.960409965,42.09728532,5.1750646,1.5525194,163.4502051,16.68608969,188.8555469,15.86005044,192.3358138,14.87164681,3.92E+10,1.81E+10,6.61E+09,3.50E+10,3.20E+10,2.78E+11,2.509979826,0.998906312,0.950851687,OK,OK,OK,ok,,2.21338547,,10.89090536,,,0,0,1
75,C-zcos_z1_166,0.923378805,48.70712659,2.7665849,0.8299755,115.9028428,42.50018974,105.0867409,14.0343648,89.53385322,9.967077791,6.75E+09,3.11E+09,3.00E+09,5.81E+09,6.32E+10,2.00E+11,2.446869636,0.930081562,0.853165219,OK,OK,OK,ok,,2.064094088,,10.86318499,,,0,0,1
81,C-zcos_z1_189,0.937734239,50.49105018,4.3405485,1.3021647,55.8789936,51.57658332,232.2589785,136.3904376,146.0458499,88.47432459,1.48E+10,6.80E+09,4.94E+09,1.30E+10,5.42E+10,2.34E+11,5.730544276,1.113001408,1.021072853,OK,OK,F,ok,,1.747248576,,10.8686126,,,0,0,1
84,C-zcos_z1_192,0.914106107,33.40480984,3.5357754,1.0607326,212.4555615,83.3500877,196.7302992,28.07947381,167.9201462,18.50545176,9.75E+09,4.49E+09,4.57E+09,8.59E+09,7.27E+10,2.24E+11,3.625093226,0.825102772,0.787512755,OK,OK,OK,ok,,2.327268104,,10.93973118,,,0,0,1
86,C-zcos_z1_197,0.837415524,40.76863029,3.6033008,1.0809903,132.7140528,43.66863932,93.99825945,12.20172829,73.10062945,9.948663471,3.99E+09,1.84E+09,1.69E+09,3.34E+09,6.31E+10,2.04E+11,1.200592448,1.141463035,1.05756555,OK,OK,OK,ok,,2.122916912,,10.83769203,,,0,0,1
87,C-zcos_z1_198,0.959129558,68.62540123,5.584179,1.6752537,123.8706646,15.33684007,122.5224753,12.36592121,121.7269889,12.29553443,1.42E+10,6.55E+09,3.99E+09,1.24E+10,4.35E+10,2.22E+11,4.302065876,1.258547481,1.087593835,F,OK,OK,ok,,2.092968468,,10.7904329,,,0,0,1
88,C-zcos_z1_2,0.896927556,57.29592725,6.1939964,1.858199,302.1655971,14.44364701,300.1509574,16.1849961,277.9329561,22.92613125,1.76E+10,8.10E+09,3.19E+09,1.51E+10,3.27E+10,2.54E+11,1.825409934,1.195013997,1.090759919,OK,OK,OK,ok,,2.480245017,,10.7278372,,,0,0,1
89,C-zcos_z1_200,0.955678747,39.66247537,3.176221,0.9528663,154.5840962,62.00286961,150.8325523,16.8747496,144.0809157,15.37865176,4.42E+09,2.04E+09,3.15E+09,3.82E+09,8.81E+10,1.75E+11,2.174170688,0.954770555,0.901078628,OK,OK,OK,ok,,2.189164811,,10.9808328,,,0,0,1
90,C-zcos_z1_202,0.840891432,53.25123182,3.161079,0.9483237,175.1244906,55.11036602,198.5115957,11.04272087,218.453706,10.66070542,1.89E+10,8.72E+09,7.89E+09,1.72E+10,8.41E+10,3.00E+11,2.134245614,1.092932933,1.04319326,OK,OK,OK,ok,,2.243346885,,11.0451153,,,0,0,1
92,C-zcos_z1_322,0.961796521,50.60369532,2.7765722,0.8329717,203.9830886,68.26041507,164.2081984,12.41857787,214.7736334,16.26619066,3.11E+10,1.43E+10,3.97E+09,2.70E+10,2.30E+10,2.57E+11,2.087058101,0.995042666,0.903769067,OK,OK,OK,ok,,2.309594163,,10.7643581,,,0,0,1
103,C-zcos_z1_354,0.838741878,36.96382078,2.0538583,0.6161575,200.1786025,81.11354863,184.4260859,67.0634291,172.006282,23.04563352,3.44E+09,1.59E+09,2.42E+09,2.94E+09,1.01E+11,2.02E+11,3.647248435,0.815954937,0.785397053,OK,OK,OK,ok,,2.301417653,,11.03039308,,,0,0,1
104,C-zcos_z1_356,0.97047848,27.62914419,2.4829235,0.7448771,92.70543087,32.81296733,85.19653305,27.14692555,113.4716227,10.20006112,1.55E+10,7.12E+09,7.34E+09,1.39E+10,7.35E+10,2.29E+11,1.252699491,0.923968304,0.89911947,OK,OK,OK,ok,,1.967105177,,10.98370361,,,0,0,1
106,C-zcos_z1_460,0.896228624,60.79532372,5.50943,1.652829,192.0659176,14.64862818,209.1770996,15.1880333,210.6603549,15.45051667,1.68E+10,7.74E+09,3.27E+09,1.45E+10,3.48E+10,2.52E+11,4.895125583,1.421453014,1.24538941,OK,OK,OK,ok,,2.283450305,,10.73951082,,,0,0,1
108,C-zcos_z1_462,0.887300178,43.25046029,4.2034597,1.261038,67.11056014,26.16777307,111.8418247,15.20305377,141.0657663,17.53820949,5.12E+09,2.36E+09,1.49E+09,4.23E+09,4.15E+10,1.94E+11,8.962766195,1.677774654,1.563689509,OK,OK,OK,F,,1.826790864,,10.6824949,,,0,0,1
111,C-zcos_z1_471,0.894796889,73.03677603,5.8885202,1.7665563,213.3151206,23.8883055,201.4024885,17.91963823,201.4024885,17.91963823,2.02E+10,9.30E+09,3.07E+09,1.73E+10,2.82E+10,2.61E+11,3.333248011,1.48421736,1.255853299,F,OK,OK,ok,,2.329021641,,10.71182335,,,0,0,1
112,C-zcos_z1_472,0.886578263,34.62124013,3.236356,0.97090685,140.4919627,114.9899073,111.0766385,61.17448955,72.14938107,42.02636741,7.19E+09,3.32E+09,2.02E+09,6.05E+09,4.31E+10,2.11E+11,3.000920871,0.924422451,0.889008024,OK,OK,F,ok,,2.14765148,,10.71876483,,,0,0,1
117,C-zcos_z1_481,0.848692663,48.07926839,1.5160549,0.45481646,189.0700826,92.31181552,179.354816,65.09421216,167.2575195,26.24888422,6.15E+09,2.84E+09,3.23E+09,5.33E+09,8.35E+10,2.26E+11,2.007598724,0.873843168,0.810178045,OK,OK,OK,ok,,2.276622814,,10.96774584,,,0,0,1
